repo_name,url,language,stars,forks,watchers,open_issues,repo_age_days,days_since_last_update,has_readme,has_license,has_tests,has_ci
public-apis/public-apis,https://github.com/public-apis/public-apis,Python,387438,41360,387438,763,3565,1,1,1,0,1
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,Python,379242,65639,379242,199,4457,1,1,1,0,1
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Python,330056,53730,330056,516,3223,1,1,1,0,1
vinta/awesome-python,https://github.com/vinta/awesome-python,Python,275073,26944,275073,529,4197,1,1,1,0,1
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,Python,215049,49667,215049,809,3448,1,1,1,0,1
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,Python,180462,46189,180462,291,1014,1,1,1,0,1
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Python,159207,29600,159207,2450,1220,1,1,1,1,1
huggingface/transformers,https://github.com/huggingface/transformers,Python,154169,31519,154169,2142,2613,1,1,1,1,1
langflow-ai/langflow,https://github.com/langflow-ai/langflow,Python,141834,8206,141834,937,1049,1,1,1,0,1
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,Python,139237,11246,139237,2215,1885,1,1,1,1,1
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Python,139233,10575,139233,4120,5533,1,1,1,1,1
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,Python,138045,11001,138045,228,3521,1,1,0,0,1
langchain-ai/langchain,https://github.com/langchain-ai/langchain,Python,122543,20196,122543,299,1164,1,1,1,0,1
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,Python,100811,16424,100811,74,363,1,1,1,0,1
comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,Python,97840,11088,97840,3358,1072,1,1,1,1,1
pytorch/pytorch,https://github.com/pytorch/pytorch,Python,96107,26343,96107,17940,3420,1,1,1,1,1
nvbn/thefuck,https://github.com/nvbn/thefuck,Python,94988,3803,94988,397,3913,1,1,1,1,1
fastapi/fastapi,https://github.com/fastapi/fastapi,Python,93368,8406,93368,198,2573,1,1,1,1,1
openai/whisper,https://github.com/openai/whisper,Python,92277,11564,92277,111,1194,1,1,1,1,1
django/django,https://github.com/django/django,Python,86247,33407,86247,370,4988,1,1,1,1,1
microsoft/markitdown,https://github.com/microsoft/markitdown,Python,84523,4866,84523,407,405,1,1,1,0,1
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,Python,83868,11898,83868,5,604,1,1,1,0,1
home-assistant/core,https://github.com/home-assistant/core,Python,83627,36272,83627,3207,4481,1,1,1,1,1
3b1b/manim,https://github.com/3b1b/manim,Python,82547,6995,82547,484,3930,1,1,1,0,1
bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,Python,80324,18300,80324,47,2274,1,1,1,1,1
fighting41love/funNLP,https://github.com/fighting41love/funNLP,Python,78020,15103,78020,43,2682,1,1,0,0,1
tensorflow/models,https://github.com/tensorflow/models,Python,77686,45361,77686,1263,3610,1,1,1,0,1
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,Python,76404,11150,76404,94,822,1,1,1,0,1
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,Python,74544,12031,74544,120,3045,1,1,1,0,1
browser-use/browser-use,https://github.com/browser-use/browser-use,Python,74062,8868,74062,183,419,1,1,1,1,1
